Label,Link,Fridge,Freezer,Pantry
APPLE JUICE - COMMERCIALLY FROZEN CONCENTRATE,https://www.stilltasty.com/Fooditems/index/16371,5-7 days after prepared for drinking,1 year (best quality),
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - OPENED ",https://www.stilltasty.com/Fooditems/index/16372,7-10 days,8-12 months,
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16373,,8-12 months,18-24 months (best quality)
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - OPENED",https://www.stilltasty.com/Fooditems/index/16374,7-10 days,8-12 months (best quality),
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - UNOPENED",https://www.stilltasty.com/Fooditems/index/16375,1 week after date on package,8-12 months (best quality),
APPLES -  COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16381,,1 year (best quality),
"APPLES - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16382,3-4 days,10-12 months,
"APPLES - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16383,1-2 months,10-12 months,5-7 days
"APPLES, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18822,6-12 months,12-18 months,6-12 months
"APPLESAUCE, COMMERCIALLY BOTTLED OR PACKAGED, SOLD UNREFRIGERATED - OPENED ",https://www.stilltasty.com/Fooditems/index/16388,1-2 weeks,1-2 months,
"APPLESAUCE, COMMERCIALLY BOTTLED OR PACKAGED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16389,,1-2 months,12-18 months
"APRICOT NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/16392,5-7 days,8-12 months,
"APRICOT NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16393,,8-12 months,12-18 months
"APRICOTS — FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16401,3-4 days,10-12 months,
"APRICOTS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16402,4-5 days once ripe,10-12 months,1-3 days or until ripe
APRICOTS — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16400,,1 year (best quality),
"APRICOTS, CANDIED — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/16403,,,12 months
"APRICOTS, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18823,6-12 months,12-18 months,6-12 months
"AVOCADOS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16426,3-4 days,3-6 months,
"AVOCADOS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16427,3-5 days once ripe,3-6 months,4-7 days or until ripe
"BANANAS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16450,3-4 days,2-3 months,
"BANANAS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16451,5-7 days once ripe,2-3 months,2-5 days or until ripe
"BANANAS, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18824,6-12 months,12-18 months,6-12 months
"BLACKBERRIES - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16549,2-3 days,10-12 months,
BLACKBERRIES — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16548,,1 year (best quality),
"BLACKBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/16556,7-10 days,8-12 months,
"BLACKBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16557,,8-12 months,18-24 months
"BLUEBERRIES - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16577,1-2 weeks,10-12 months,
BLUEBERRIES — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16576,,1 year (best quality),
"BLUEBERRIES, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18825,6-12 months,12-18 months,6-12 months
"BOYSENBERRIES — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16602,2-3 days,10-12 months,
BOYSENBERRIES — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16601,,1 year (best quality),
"CANTALOUPE - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16676,3-5 days,10-12 months,1-2 days
"CANTALOUPE MELONS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16675,3-5 days,10-12 months,
"CASABA MELONS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16708,7-10 days,10-12 months,2-4 days
"CASABA MELONS — FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16707,3-5 days,10-12 months,
"CHERIMOYA - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16751,1-2 days once ripe,10-12 months,2-5 days or until ripe
"CHERRIES - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16753,4-10 days,10-12 months,
CHERRIES — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16752,,1 year,
"CHERRIES, CANDIED (RED, GREEN OR YELLOW) — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/16754,,,2 years
"CHERRIES, COMMERCIALLY CANNED OR BOTTLED (EXCEPT MARASCHINO) — OPENED",https://www.stilltasty.com/Fooditems/index/16755,5-7 days,1-2 months,
"CHERRIES, COMMERCIALLY CANNED OR BOTTLED (EXCEPT MARASCHINO) — UNOPENED",https://www.stilltasty.com/Fooditems/index/16756,,,18-24 months (best quality)
"CHERRIES, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18826,6-12 months,12-18 months,6-12 months
"CITRON PEEL, CANDIED — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/16888,,,12 months
"CLEMENTINES - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16898,1-2 weeks,10-12 months,1 week
"CLEMENTINES, CANDIED — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/16899,,,12 months
"CRANBERRIES - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16996,3-6 weeks,10-12 months,
"CRANBERRIES, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18827,6-12 months,12-18 months,6-12 months
"CRANBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/17004,2-3 weeks,8-12 months,
"CRANBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17005,,8-12 months,18-24 months (best quality)
"CRANBERRY JUICE, SOLD IN REFRIGERATED CONTAINER - UNOPENED",https://www.stilltasty.com/Fooditems/index/17007,1 week after date on package,8-12 months (best quality),
"CRANBERRY JUICE, SOLD IN REFRIGERATED CONTAINER — OPENED",https://www.stilltasty.com/Fooditems/index/17006,7-10 days,8-12 months (best quality),
CRANBERRY SAUCE - HOMEMADE,https://www.stilltasty.com/Fooditems/index/17008,10-14 days,1-2 months,
"CRANBERRY SAUCE, COMMERCIALLY CANNED OR BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/17009,10-14 days,1-2 months (best quality),
"CRANBERRY SAUCE, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/17010,,,18-24 months (best quality)
"CRENSHAW MELONS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17051,7-10 days once ripe,10-12 months,2-4 days or until ripe
"CRENSHAW MELONS — FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17050,3-5 days,10-12 months,
"CURRANTS (RED, BLACK OR WHITE) — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17065,1-2 days,10-12 months,
