Name,isOpened,Food_Group,Link,Fridge,Freezer,Pantry
"ABRUZZESE SAUSAGE, DRY, SOLD UNREFRIGERATED  ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16334,14,270,
"ABRUZZESE SAUSAGE, DRY, SOLD UNREFRIGERATED ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16335,180,270,35
BACON ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16428,4,60,
"BACON BITS, IMITATION, COMMERCIALLY PACKAGED — UNOPENED OR OPENED ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16429,,,365
BACON FAT/ DRIPPINGS — HOMEMADE,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16430,180,210,
"BACON, RAW, COMMERCIALLY VACUUM PACKAGED ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16431,8,30,
"BACON, RAW, COMMERCIALLY VACUUM PACKAGED ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16432,7,30,
BEEF BRISKET ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16479,3,60,
BEEF BRISKET ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16480,4,270,
"BEEF BROTH, STOCK OR CONSOMME ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16481,3,150,
"BEEF BROTH, STOCK OR CONSOMME, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — OPENED",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16482,4,150,
"BEEF BROTH, STOCK OR CONSOMME, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16483,,,1460
"BEEF BURGERS, COOKED ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/19103,,180,
"BEEF BURGERS, RAW — PURCHASED COMMERCIALLY FROZEN",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16484,,180,
BEEF ENTREES / DINNERS — COMMERCIALLY FROZEN,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16485,,210,
BEEF HEART — COOKED,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16486,3,60,
BEEF HEART ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16478,1,90,
BEEF JERKY — HOMEMADE,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16487,30,,
"BEEF JERKY, COMMERCIALLY VACUUM PACKAGED ",1,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16488,60,,
"BEEF JERKY, COMMERCIALLY VACUUM PACKAGED — UNOPENED",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16489,,,365
BEEF KIDNEYS — COOKED,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16490,3,60,
BEEF KIDNEYS ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16491,1,90,
BEEF LIVER — COOKED,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16492,3,60,
BEEF LIVER ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16493,1,90,
"BEEF RIBS,  ALL CUTS (INCLUDING BACK RIBS, SHORT RIBS) ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16494,3,60,
"BEEF RIBS,  ALL CUTS (INCLUDING BACK RIBS, SHORT RIBS) ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16495,4,270,
"BEEF ROAST, ALL CUTS (INCLUDING CHUCK, RIB, FLANK, TENDERLOIN, ROUND, SHOULDER, BLADE ) ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16496,4,270,
"BEEF ROAST, ALL CUTS (INCLUDING CHUCK, RIB, FLANK, TENDERLOIN, ROUND, SHOULDER, BLADE ) ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16497,,360,
"BEEF ROAST, ALL CUTS (INCLUDING CHUCK, RIB, FLANK, TENDERLOIN, ROUND, SHOULDER, BLADE) ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16498,3,60,
BEEF SOUP  ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/19093,3,150,
"BEEF SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — OPENED ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16500,3,150,
"BEEF SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16501,,,1460
"BEEF STEAK, ALL CUTS (INCLUDING CHUCK, SIRLOIN, FLANK, RIB EYE, STRIP, TENDERLOIN, ROUND, PORTERHOUSE, T",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16502,4,270,
"BEEF STEAK, ALL CUTS (INCLUDING CHUCK, SIRLOIN, FLANK, RIB EYE, STRIP, TENDERLOIN, ROUND, PORTERHOUSE, T",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16503,,360,
"BEEF STEAK, ALL CUTS (INCLUDING CHUCK, SIRLOIN, FLANK, RIB EYE, STRIP, TENDERLOIN, ROUND, SHOULDER, PORTERHOUSE, T",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16504,3,60,
BEEF STEW ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16499,3,150,
BEEF TONGUE — COOKED,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16505,3,60,
BEEF TONGUE ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16506,1,90,
"BEEF, GROUND (HAMBURGER) ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16507,3,60,
"BEEF, GROUND (HAMBURGER) ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16508,1,90,
"BEEF, STEW MEAT — COOKED",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16509,3,60,
"BEEF, STEW MEAT ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16510,1,90,
BLOOD SAUSAGE — OPENED PACKAGE,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16569,7,30,
BLOOD SAUSAGE — UNOPENED PACKAGE,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16570,7,30,
BOLOGNA DELI MEAT / COLD CUTS ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16593,4,30,
"BOLOGNA DELI MEAT / COLD CUTS, COMMERCIALLY PRE",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16594,6,30,
"BOLOGNA DELI MEAT / COLD CUTS, COMMERCIALLY PRE",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16595,7,30,
BRATWURST SAUSAGES ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16611,3,30,
BRATWURST SAUSAGES ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16612,1,30,
"BRATWURST SAUSAGES, SMOKED, COMMERCIALLY PACKAGED — OPENED ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16613,7,30,
"BRATWURST SAUSAGES, SMOKED, COMMERCIALLY PACKAGED — UNOPENED ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16614,7,30,
"BRAUNSCHWEIGER SAUSAGE (SMOKED), COMMERCIALLY PACKAGED — OPENED ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16615,7,30,
"BRAUNSCHWEIGER SAUSAGE (SMOKED), COMMERCIALLY PACKAGED — UNOPENED ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16616,7,30,
BREAKFAST SAUSAGES ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16623,3,30,
BREAKFAST SAUSAGES ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16624,1,30,
"BREAKFAST SAUSAGES, SMOKED, LINKS OR PATTIES — OPENED PACKAGE",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16625,7,30,
"BREAKFAST SAUSAGES, SMOKED, LINKS OR PATTIES — UNOPENED PACKAGE",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16626,7,30,
CANADIAN BACON — PURCHASED AS CHUNK,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16667,7,30,
CANADIAN BACON — PURCHASED SLICED,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16668,3,30,
"CAPON, WHOLE — COOKED",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16681,3,150,
"CAPON, WHOLE ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16682,1,365,
"CHICKEN  PIECES, INCLUDING CHICKEN BREASTS / THIGHS / WINGS ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16787,3,120,
"CHICKEN  PIECES, INCLUDING CHICKEN BREASTS / THIGHS / WINGS ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16788,1,300,
"CHICKEN  PIECES, INCLUDING CHICKEN BREASTS / THIGHS / WINGS ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16790,,270,
"CHICKEN BREASTS, PRE",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16775,1,,
"CHICKEN BROTH, STOCK OR CONSOMME ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16776,3,150,
"CHICKEN BROTH, STOCK OR CONSOMME, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — OPENED",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16777,4,150,
"CHICKEN BROTH, STOCK OR CONSOMME, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16778,,,1460
CHICKEN CASSEROLE — HOMEMADE,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16779,3,150,
"CHICKEN CUTLETS, COMMERCIALLY PACKAGED, FULLY COOKED  AND SOLD REFRIGERATED — UNOPENED PACKAGE",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/18903,,180,
"CHICKEN CUTLETS, COMMERCIALLY PACKAGED, FULLY COOKED  AND SOLD REFRIGERATED ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/18908,5,180,
CHICKEN DELI MEAT / COLD CUTS ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16780,4,30,
"CHICKEN DELI MEAT / COLD CUTS, COMMERCIALLY PRE",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16781,6,30,
"CHICKEN DELI MEAT / COLD CUTS, COMMERCIALLY PRE",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16782,7,30,
CHICKEN ENTREES / DINNERS — COMMERCIALLY FROZEN,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16783,,210,
CHICKEN FAT/ DRIPPINGS — HOMEMADE,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16784,180,210,
"CHICKEN NUGGETS, COMMERCIALLY PACKAGED, FULLY COOKED  AND SOLD REFRIGERATED ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/18905,5,180,
"CHICKEN NUGGETS, COMMERCIALLY PACKAGED, FULLY COOKED  AND SOLD REFRIGERATED — UNOPENED PACKAGE",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/18900,,180,
"CHICKEN NUGGETS, FINGERS OR PATTIES ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16785,1,60,
"CHICKEN PARMESAN / CHICKEN PARMIGIANA, COOKED  ",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16786,3,150,
CHICKEN POT PIE ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/19096,,210,
"CHICKEN POT PIE, FRESHLY BAKED",,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/18952,4,150,
CHICKEN SALAD ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16791,4,,
CHICKEN SOUP / CHICKEN NOODLE SOUP  ,,Meat & Poultry,https://www.stilltasty.com/Fooditems/index/16792,3,150,
