Name,isOpened,Food_Group,Link,Fridge,Freezer,Pantry
ALMOND PASTE — OPENED OR UNOPENED,,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16341,730,,
"ALMONDS, COMMERCIALLY BAGGED OR PURCHASED IN BULK ",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16342,360,730,21
"ALMONDS, COMMERCIALLY BAGGED OR PURCHASED IN BULK ",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16343,270,365,21
"ALMONDS, COMMERCIALLY CANNED OR BOTTLED ",1,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16344,150,300,30
"ALMONDS, COMMERCIALLY CANNED OR BOTTLED ",0,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16345,,,450
"ANGEL HAIR PASTA — COOKED, LEFTOVERS",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16357,4,30,
"ANGEL HAIR PASTA, DRY, UNCOOKED, COMMERCIALLY PACKAGED, SOLD UNREFRIGERATED— UNOPENED OR OPENED ",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16358,,,1095
"ANGEL HAIR PASTA, FRESH, SOLD REFRIGERATED — OPENED PACKAGE",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16359,3,30,
"ANGEL HAIR PASTA, FRESH, SOLD REFRIGERATED — UNOPENED PACKAGE",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16360,2,30,
"BAKED BEANS, IN SAUCE (INCLUDING MOLASSES, BROWN SUGAR, TOMATO ), COMMERCIALLY CANNED OR BOTTLED ",1,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16469,3,30,
"BAKED BEANS, IN SAUCE (INCLUDING MOLASSES, BROWN SUGAR, TOMATO), COMMERCIALLY CANNED OR BOTTLED ",0,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16470,,,1460
"BARLEY, COMMERCIALLY BAGGED OR PURCHASED IN BULK ",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16456,4,30,
"BARLEY, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16457,,,630
"BEAN SOUP,  ALL TYPES ",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16464,3,150,
"BEAN SOUP, COMMERCIALLY CANNED OR BOTTLED — OPENED",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16465,3,150,
"BEAN SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED  — UNOPENED",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16466,,,1460
"BLACK BEANS, COMMERCIALLY CANNED OR BOTTLED — OPENED",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16541,3,30,
"BLACK BEANS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16542,,,1460
"BLACK BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16543,4,180,
"BLACK BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED",,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16544,,,730
BLACK,,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16565,3,30,
BLACK,,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16566,,,1460
BLACK,,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16567,4,180,
BLACK,,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16568,,,730
BOW TIE PASTA (FARFALLE) ,,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16599,4,30,
