Name,isOpened,Food_Group,Link,Fridge,Freezer,Pantry
"ANGEL FOOD CAKE, FRESHLY BAKED, HOMEMADE OR BAKERY",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16355,7,150,1
"APPLE JELLY, COMMERCIALLY JARRED ",1,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16369,365,,
"APPLE JELLY, COMMERCIALLY JARRED ",0,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16370,,,730
APPLE PIE — UNBAKED,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16377,1,90,
"APPLE PIE FILLING, COMMERCIALLY CANNED OR BOTTLED ",1,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16378,14,,
"APPLE PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16379,,,1095
"APPLE PIE, FRESHLY BAKED ",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16376,4,210,2
"APRICOT JAM, COMMERCIALLY JARRED ",1,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16390,365,,
"APRICOT JAM, COMMERCIALLY JARRED ",0,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16391,,,730
APRICOT PIE ,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16394,2,210,2
APRICOT PIE — UNBAKED,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16395,1,90,
"APRICOT PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — OPENED",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16396,14,,
"APRICOT PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16397,,,1095
"APRICOT PRESERVES, COMMERCIALLY BOTTLED — OPENED",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16398,365,,
"APRICOT PRESERVES, COMMERCIALLY BOTTLED — UNOPENED",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16399,,,730
BAGELS ,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16433,,365,
BAGELS ,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16434,,90,2
"BAGUETTE, FRESHLY BAKED, HOMEMADE OR BAKERY     ",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/18938,,90,2
"BAKING CHIPS, VANILLA",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/18794,,,450
BAKING POWDER ,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16437,,,180
BAKING POWDER — UNOPENED PACKAGE,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16438,,,540
BAKING SODA ,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16439,,,180
BAKING SODA — UNOPENED PACKAGE,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16440,,,730
BANANA BREAD ,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16444,7,60,1
"BANANA CREAM PIE, FRESHLY BAKED ",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16445,3,,
"ANGEL FOOD CAKE, FRESHLY BAKED, HOMEMADE OR BAKERY",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16355,7,150,1
"APPLE JELLY, COMMERCIALLY JARRED ",1,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16369,365,,
"APPLE JELLY, COMMERCIALLY JARRED ",0,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16370,,,730
APPLE PIE — UNBAKED,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16377,1,90,
"APPLE PIE FILLING, COMMERCIALLY CANNED OR BOTTLED ",1,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16378,14,,
"APPLE PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16379,,,1095
"APPLE PIE, FRESHLY BAKED ",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16376,4,210,2
"APRICOT JAM, COMMERCIALLY JARRED ",1,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16390,365,,
"APRICOT JAM, COMMERCIALLY JARRED ",0,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16391,,,730
APRICOT PIE ,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16394,2,210,2
APRICOT PIE — UNBAKED,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16395,1,90,
"APRICOT PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — OPENED",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16396,14,,
"APRICOT PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16397,,,1095
"APRICOT PRESERVES, COMMERCIALLY BOTTLED — OPENED",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16398,365,,
"APRICOT PRESERVES, COMMERCIALLY BOTTLED — UNOPENED",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16399,,,730
BAGELS ,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16433,,365,
BAGELS ,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16434,,90,2
"BAGUETTE, FRESHLY BAKED, HOMEMADE OR BAKERY     ",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/18938,,90,2
"BAKING CHIPS, VANILLA",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/18794,,,450
BAKING POWDER ,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16437,,,180
BAKING POWDER — UNOPENED PACKAGE,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16438,,,540
BAKING SODA ,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16439,,,180
BAKING SODA — UNOPENED PACKAGE,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16440,,,730
BANANA BREAD ,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16444,7,60,1
"BANANA CREAM PIE, FRESHLY BAKED ",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16445,3,,
"ANGEL FOOD CAKE, FRESHLY BAKED, HOMEMADE OR BAKERY",,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16355,7,150,1
"APPLE JELLY, COMMERCIALLY JARRED ",1,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16369,365,,
"APPLE JELLY, COMMERCIALLY JARRED ",0,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16370,,,730
APPLE PIE — UNBAKED,,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16377,1,90,
"APPLE PIE FILLING, COMMERCIALLY CANNED OR BOTTLED ",1,Snacks and Baked Goods,https://www.stilltasty.com/Fooditems/index/16378,14,,
