Label,Link,Fridge,Freezer,Pantry
"ALFALFA SPROUTS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16336,2-3 days,,
ANCHO PEPPERS (DRIED POBLANOS) — WHOLE,https://www.stilltasty.com/Fooditems/index/16350,,,1 year
ARTICHOKES - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16413,,10-12 months (best quality),
"ARTICHOKES - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16414,3-5 days,10-12 months,
"ARTICHOKES - FRESH, RAW ",https://www.stilltasty.com/Fooditems/index/16415,5-7 days,10-12 months,
"ARTICHOKES, COMMERCIALLY CANNED OR BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/16416,3-4 days,1-2 months,
"ARTICHOKES, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16417,,,3-5 years (best quality)
"ARUGULA (ROCKET) — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16418,2-3 days,,
ASPARAGUS - COMMERCIALLY FROZEN ,https://www.stilltasty.com/Fooditems/index/16421,,10-12 months (best quality),
"ASPARAGUS - FRESH, COOKED ",https://www.stilltasty.com/Fooditems/index/16422,3-5 days,10-12 months,
"ASPARAGUS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16423,3-4 days,12-18 months,
"ASPARAGUS, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16424,3-4 days,1-2 months,
"ASPARAGUS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16425,,,3-5 years (best quality)
"BABY CARROTS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18950,2-3 weeks,12-18 months,
"BAMBOO SHOOTS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16441,5-7 days,,
"BAMBOO SHOOTS, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16442,3-4 days,,
"BAMBOO SHOOTS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16443,,,3-5 years
"BANANA PEPPERS - FRESH, RAW, SLICED OR CHOPPED",https://www.stilltasty.com/Fooditems/index/16448,2-3 days,10-12 months,
"BANANA PEPPERS — FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16449,1 week,10-12 months,
BEAN SALAD - HOMEMADE OR STORE-PREPARED ,https://www.stilltasty.com/Fooditems/index/16463,3-5 days,,
"BEANS, SNAP, STRING OR WAX (GREEN OR YELLOW) - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16471,3-5 days,10-12 months,
"BEET GREENS — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16513,3-5 days,10-12 months,
"BEET GREENS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16514,3-5 days,10-12 months,
"BEETS - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16515,3-5 days,10-12 months,
"BEETS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16516,2 weeks,12-18 months,
"BEETS, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16517,3-4 days,1-2 months,
"BEETS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16518,,,3-5 years (best quality)
"BELL PEPPERS / SWEET PEPPERS  (INCLUDING GREEN, RED, YELLOW, ORANGE ) - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16523,1-2 weeks,10-12 months,
"BELL PEPPERS / SWEET PEPPERS (INCLUDING GREEN, RED, YELLOW, ORANGE ) - FRESH, RAW, SLICED OR CHOPPED",https://www.stilltasty.com/Fooditems/index/16524,2-3 days,10-12 months,
"BITTER MELON — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16537,3-5 days,,
"BITTER MELON — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16538,4-5 days,,
"BOK CHOY — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16591,3-5 days,10-12 months,
"BOK CHOY — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16592,3-4 days,10-12 months,
"BROAD BEANS  — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16632,3-5 days,10-12 months,
"BROAD BEANS  — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16633,2-3 days,10-12 months,
BROCCOLI - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16634,,10-12 months,
"BROCCOLI - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16635,3-5 days,10-12 months,
"BROCCOLI - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16636,3-5 days,12-18 months,
"BROCCOLI RAAB / RAPINI - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16637,3-5 days,10-12 months,
"BROCCOLI RABE / RAPINI - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16638,3-5 days,10-12 months,
"BRUSSELS SPROUTS — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16641,3-5 days,10-12 months,
"BRUSSELS SPROUTS -  FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16642,3-5 days,12-18 months,
BRUSSELS SPROUTS - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16640,,10-12 months,
"CABBAGE - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16658,3-5 days,10-12 months,
"CABBAGE - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16659,1-2 months,12-18 months,
"CABBAGE ROLLS / STUFFED CABBAGE - HOMEMADE, LEFTOVERS",https://www.stilltasty.com/Fooditems/index/16660,3-4 days,3-4 months,
"CARROT JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD REFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16698,1 week after date on package,8-12 months,
"CARROT JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD REFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/16697,7-10 days,8-12 months,
"CARROT JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/16699,7-10 days,8-12 months,
"CARROT JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16700,,,18-24 months
CARROTS - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16701,,10-12 months,
"CARROTS - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16702,3-5 days,10-12 months,
"CARROTS - FRESH, RAW, CHOPPED, CARROT STICKS",https://www.stilltasty.com/Fooditems/index/16703,2-3 weeks,12-18 months,
"CARROTS - FRESH, RAW, UNPEELED",https://www.stilltasty.com/Fooditems/index/16704,3-4 weeks,10-12 months,
"CARROTS, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16705,3-4 days,1-2 months,
"CARROTS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16706,,,3-5 years (best quality)
"CASSAVA / YUCCA/ MANIOC — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16712,2 days,,
"CAULIFLOWER -  FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16717,3-5 days,10-12 months,
CAULIFLOWER - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16718,,10-12 months (best quality),
"CAULIFLOWER - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16719,1 week,12-18 months,
"CELERIAC / CELERY ROOT — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16725,3-4 days,10-12 months,
"CELERIAC / CELERY ROOT - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16726,10-14 days,,
"CELERY - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16727,3-5 days,10-12 months,
"CELERY - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16728,1-2 weeks,12-18 months,
"CELERY - FRESH, RAW, CHOPPED, CUT-UP OR CELERY STICKS",https://www.stilltasty.com/Fooditems/index/16729,1-2 weeks,12-18 months,
"CHAYOTE — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16738,3-5 days,10-12 months,
"CHAYOTE — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16739,3-4 weeks,10-12 months,
"CHICORY GREENS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16808,3-5 days,,
"CHILI PEPPERS - FRESH, RAW, SLICED OR CHOPPED",https://www.stilltasty.com/Fooditems/index/16813,2-3 days,10-12 months,
"CHILI PEPPERS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16814,1 week,10-12 months,
"CHILI PEPPERS, COMMERCIALLY  CANNED OR BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/16815,1-2 months,4-6 months,
"CHILI PEPPERS, COMMERCIALLY  CANNED OR BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16816,,,3-5 years (best quality)
"CHILI PEPPERS, DRIED (DRIED CHILES) — WHOLE",https://www.stilltasty.com/Fooditems/index/16817,,,1 year
"CHINESE CABBAGE — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16821,3-5 days,10-12 months,
"CHINESE CABBAGE — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16822,4-5 days,12-18 months,
CHINESE FOOD: VEGETABLE CHOP SUEY - HOMEMADE OR TAKE-OUT,https://www.stilltasty.com/Fooditems/index/16836,3-5 days,4-6 months,
