Label,Fridge,Freezer,Pantry
"ALFALFA SPROUTS - FRESH, RAW",2,,
ANCHO PEPPERS (DRIED POBLANOS) — WHOLE,,,365
ARTICHOKES - COMMERCIALLY FROZEN,,330,
"ARTICHOKES - FRESH, COOKED",4,330,
"ARTICHOKES - FRESH, RAW ",6,330,
"ARTICHOKES, COMMERCIALLY CANNED OR BOTTLED - OPENED",3,30,
"ARTICHOKES, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",,,1460
"ARUGULA (ROCKET) — FRESH, RAW",2,,
ASPARAGUS - COMMERCIALLY FROZEN ,,330,
"ASPARAGUS - FRESH, COOKED ",4,330,
"ASPARAGUS - FRESH, RAW",3,450,
"ASPARAGUS, COMMERCIALLY CANNED OR BOTTLED — OPENED",3,30,
"ASPARAGUS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,,1460
"BABY CARROTS - FRESH, RAW",14,450,
"BAMBOO SHOOTS - FRESH, RAW",6,,
"BAMBOO SHOOTS, COMMERCIALLY CANNED OR BOTTLED — OPENED",3,,
"BAMBOO SHOOTS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,,1460
"BANANA PEPPERS - FRESH, RAW, SLICED OR CHOPPED",2,330,
"BANANA PEPPERS — FRESH, RAW, WHOLE",7,330,
BEAN SALAD - HOMEMADE OR STORE-PREPARED ,4,,
"BEANS, SNAP, STRING OR WAX (GREEN OR YELLOW) - FRESH, COOKED",4,330,
"BEET GREENS — FRESH, COOKED",4,330,
"BEET GREENS - FRESH, RAW",4,330,
"BEETS - FRESH, COOKED",4,330,
"BEETS - FRESH, RAW",14,450,
"BEETS, COMMERCIALLY CANNED OR BOTTLED — OPENED",3,30,
"BEETS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,,1460
"BELL PEPPERS / SWEET PEPPERS  (INCLUDING GREEN, RED, YELLOW, ORANGE ) - FRESH, RAW, WHOLE",7,330,
"BELL PEPPERS / SWEET PEPPERS (INCLUDING GREEN, RED, YELLOW, ORANGE ) - FRESH, RAW, SLICED OR CHOPPED",2,330,
"BITTER MELON — FRESH, COOKED",4,,
"BITTER MELON — FRESH, RAW",4,,
"BOK CHOY — FRESH, COOKED",4,330,
"BOK CHOY — FRESH, RAW",3,330,
"BROAD BEANS  — FRESH, COOKED",4,330,
"BROAD BEANS  — FRESH, RAW",2,330,
BROCCOLI - COMMERCIALLY FROZEN,,330,
"BROCCOLI - FRESH, COOKED",4,330,
"BROCCOLI - FRESH, RAW",4,450,
"BROCCOLI RAAB / RAPINI - FRESH, COOKED",4,330,
"BROCCOLI RABE / RAPINI - FRESH, RAW",4,330,
"BRUSSELS SPROUTS — FRESH, COOKED",4,330,
