Food ID,Food Name,Expiration Pantry,Expiration Fridge,Expiration Freezer
0,Food Name,0.0,0.0,0.0
1,ALFALFA SPROUTS,,2.0,
2,ALMONDS,0.0,0.0,0.0
3,ALOE VERA LEAVES,0.0,0.0,0.0
4,Amaranth/Callaloo/Een Choy,0.0,0.0,0.0
5,ANISE,0.0,0.0,0.0
6,APPLE SLICES,0.0,0.0,0.0
7,APPLES,1.0,4.0,330.0
8,APRICOTS,2.0,4.0,330.0
9,ARRACACH,0.0,0.0,0.0
10,ARTICHOKES,,6.0,330.0
11,ARUGULA/ROCKET,0.0,0.0,0.0
12,ASPARAGUS,,3.0,450.0
13,ATEMOYAS,0.0,0.0,0.0
14,AVOCADOS,5.0,4.0,120.0
15,BABACO,0.0,0.0,0.0
16,BANANAS,3.0,6.0,60.0
17,BASIL,0.0,0.0,0.0
18,BAY LEAVES,0.0,0.0,0.0
19,BEAN SPROUTS,0.0,0.0,0.0
20,BEANS,,6.0,450.0
21,BEET GREENS,,4.0,330.0
22,BEETS,,14.0,450.0
23,BELGIAN ENDIVE (WITLOOF CHICORY),0.0,0.0,0.0
24,BERRIES,0.0,0.0,0.0
25,"BITTER MELON/BITTER GOURD, Foo Qua",0.0,0.0,0.0
26,BOK CHOY (PAK CHOI),0.0,0.0,0.0
27,BONIATO,0.0,0.0,0.0
28,BORAGE,0.0,0.0,0.0
29,BRAZILNUTS,0.0,0.0,0.0
30,BREADFRUIT,0.0,0.0,0.0
31,BROCCOLI,,4.0,330.0
32,BRUSSELS SPROUTS,,4.0,450.0
33,CABBAGE,,4.0,450.0
34,CACTUS LEAVES (Nopales/Cactus Pads),0.0,0.0,0.0
35,CACTUS PEAR (PRICKLY PEAR),0.0,0.0,0.0
36,CARAMBOLA (STARFRUIT),0.0,0.0,0.0
37,CARDOON (CARDONI),0.0,0.0,0.0
38,CARROTS,,14.0,450.0
39,CASHEWS,0.0,0.0,0.0
40,CAULIFLOWER,,7.0,450.0
41,CELERY,,7.0,450.0
42,CELERY ROOT/CELERIAC,0.0,0.0,0.0
43,CHARD (SWISS CHARD)/SILVERBEET,0.0,0.0,0.0
44,CHERIMOYA,0.0,0.0,0.0
45,CHERRIES,0.0,0.0,0.0
46,CHERVIL,0.0,0.0,0.0
