PLU,Food,Specific Food,Pantry,Fridge,Freezer
4514,alfalfa sprouts,Alfalfa Sprouts,,,
4924,almonds,Almonds,21, 270,360
4925,almonds,Retailer Assigned Almonds,21, 270,360
3064,aloe vera leaves,Aloe Vera Leaves,,,
3463,amaranth/callaloo/een choy,Amaranth/Callaloo/Een Choy,,,
3338,anise,Anise,,,
4860,apple slices,Dried Apple Slices,,,
3000,apples,Alkmene Apples,6,30,330
3001,apples,Small Aurora/Southern Rose Apples,6,30,330
3002,apples,Cantared Apples,6,30,330
3003,apples,D'Estivale Apples,6,30,330
3004,apples,Discovery Apples,6,30,330
3005,apples,Golden Delicious Blush Apples,6,30,330
3006,apples,Ingrid Marie Apples,6,30,330
3007,apples,Lochbuie Apples,6,30,330
3008,apples,Rubinette Apples,6,30,330
3009,apples,Russet Apples,6,30,330
3010,apples,Small Cripps Red Apples,6,30,330
3011,apples,Worcester Apples,6,30,330
3065,apples,Small Cameo Apples,6,30,330
3066,apples,Large Cameo Apples,6,30,330
3067,apples,Small Swiss Gourmet Apples,6,30,330
3068,apples,Large Swiss Gourmet Apples,6,30,330
3069,apples,"Small Gravenstein, Red Apples",6,30,330
3070,apples,"Large Gravenstein, Red Apples",6,30,330
3071,apples,"Granny Smith, Red Apples",6,30,330
3072,apples,Lady Apples,6,30,330
3073,apples,Macoun Apples,6,30,330
3074,apples,Greening (Ri) Apples,6,30,330
3075,apples,Baldwin Apples,6,30,330
3076,apples,Melrose Apples,6,30,330
3077,apples,Northern Spy Apples,6,30,330
3078,apples,Liberty Apples,6,30,330
3104,apples,Roho 3615 Apples,6,30,330
3271,apples,Virginia Gold Apples,6,30,330
3272,apples,Sommerfeld Apples,6,30,330
3283,apples,Large Honeycrisp Apples,6,30,330
3284,apples,Extra-Large Red Delicious Apples,6,30,330
3285,apples,Extra-Large Golden Delicious Apples,6,30,330
3290,apples,Large Aurora/Southern Rose Apples,6,30,330
3291,apples,Small Boskoop/Belle De Boskoop Apples,6,30,330
3292,apples,Large Boskoop/Belle De Boskoop Apples,6,30,330
3293,apples,Small Scifresh Apples,6,30,330
3294,apples,Large Scifresh Apples,6,30,330
3295,apples,Small Sciearly Apples,6,30,330
3296,apples,Large Sciearly Apples,6,30,330
3297,apples,Scired Apples,6,30,330
3298,apples,Redfield Apples,6,30,330
3299,apples,Small Sonya Apples,6,30,330
3300,apples,Large Sonya Apples,6,30,330
3301,apples,Large Cripps Red Apples,6,30,330
3315,apples,Small Scilate Apples,6,30,330
3339,apples,Belchard - Chantecler Apples,6,30,330
3340,apples,Bertanne/Golden Russet Apples,6,30,330
3341,apples,Charles Ross Apples,6,30,330
3342,apples,Delblush Apples,6,30,330
3343,apples,Dessert Apples,6,30,330
3344,apples,Small Gloster Apples,6,30,330
3345,apples,Large Gloster Apples,6,30,330
3346,apples,Holstein Apples,6,30,330
3347,apples,Laxtons Fortune Apples,6,30,330
3348,apples,Lord Lambourne Apples,6,30,330
3349,apples,Michaelmas Red Apples,6,30,330
3350,apples,Small Reine Des Reinettes/King Of The Pippins Apples,6,30,330
3351,apples,Large Reine Des Reinettes/King Of The Pippins Apples,6,30,330
3352,apples,Canada Blanc Reinette Du Mans Apples,6,30,330
3353,apples,St Edmunds Pippin Apples,6,30,330
3435,apples,Pinova Apples,6,30,330
3438,apples,Ambrosia Apples,6,30,330
3442,apples,New York 1 Apples,6,30,330
3443,apples,New York 2 Apples,6,30,330
3444,apples,Green Dragon Apples,6,30,330
3445,apples,Ds 3 Apples,6,30,330
3447,apples,Ds 22 Apples,6,30,330
3460,apples,Red Jonaprince Apples,6,30,330
3461,apples,Lady Williams Apples,6,30,330
3467,apples,Regal 13-82 Apples,6,30,330
3468,apples,Small Honeycrisp Apples,6,30,330
3484,apples,Dalinette Apples,6,30,330
3486,apples,Cn121 Apples,6,30,330
3487,apples,Mn 55 Apples,6,30,330
3490,apples,Maia 1 Apples,6,30,330
3507,apples,Wa 38 Apples,6,30,330
3510,apples,Small Ambrosia Apples,6,30,330
3511,apples,Wa 2 Apples,6,30,330
3513,apples,Shinano Gold Apples,6,30,330
3514,apples,Fengapi Apples,6,30,330
3515,apples,Small Prema 153 Apples,6,30,330
3516,apples,Large Prema 153 Apples,6,30,330
3519,apples,R10-45 Apples,6,30,330
3521,apples,Regal D5-100 Apples,6,30,330
3523,apples,Sq 159 Apples,6,30,330
3525,apples,Small Cn121 Apples,6,30,330
3526,apples,Howell Tc2 Apples,6,30,330
3527,apples,Howell Tc3 Apples,6,30,330
3528,apples,Regal D17-121 Apples,6,30,330
3529,apples,Prema 129 Apples,6,30,330
3537,apples,Maia-L Apples,6,30,330
3538,apples,Ipador Apples,6,30,330
3539,apples,Ifored Y Series Apples,6,30,330
3540,apples,Ifored R Series Apples,6,30,330
3541,apples,Civm49 Apples,6,30,330
3542,apples,Regal D27-16 Apples,6,30,330
3600,apples,Antares Apples,6,30,330
3601,apples,Huaguan Apples,6,30,330
3602,apples,Belgica Apples,6,30,330
3603,apples,Minneiska Apples,6,30,330
3604,apples,Emmons Apples,6,30,330
3605,apples,Nicoter Apples,6,30,330
3607,apples,Mariri Red Apples,6,30,330
3608,apples,Large Sciros Apples,6,30,330
3612,apples,Nicogreen Apples,6,30,330
3613,apples,Fuji Brak Apples,6,30,330
3615,apples,Civni Apples,6,30,330
3616,apples,Large Scilate Apples,6,30,330
3618,apples,Opal Apples,6,30,330
3619,apples,Milwa Apples,6,30,330
3620,apples,Plumac Apples,6,30,330
3625,apples,Minnewashta Apples,6,30,330
3627,apples,Large Prema17 Apples,6,30,330
3628,apples,Prema280 Apples,6,30,330
3629,apples,Civg198 Apples,6,30,330
3630,apples,Co-Op 43 Apples,6,30,330
4015,apples,Small Red Delicious Apples,6,30,330
4016,apples,Large Red Delicious Apples,6,30,330
4017,apples,Large Granny Smith Apples,6,30,330
4018,apples,Large Granny Smith Apples,6,30,330
4019,apples,Large Mcintosh Apples,6,30,330
4020,apples,Large Golden Delicious Apples,6,30,330
4021,apples,Small Golden Delicious Apples,6,30,330
4057,apples,Small Haralson Apples,6,30,330
4058,apples,Large Haralson Apples,6,30,330
4096,apples,Large Ginger Gold Apples,6,30,330
4097,apples,Small Ginger Gold Apples,6,30,330
4098,apples,Small Akane Apples,6,30,330
4099,apples,Large Akane Apples,6,30,330
4100,apples,Small Fireside Apples,6,30,330
4101,apples,Small Braeburn Apples,6,30,330
4102,apples,Large Fireside Apples,6,30,330
4103,apples,Large Braeburn Apples,6,30,330
4104,apples,Small Cortland Apples,6,30,330
4105,apples,Cox Orange Pippin Apples,6,30,330
4106,apples,Large Cortland Apples,6,30,330
4107,apples,Crab Apples,6,30,330
4108,apples,Small Crispin/Mutsu Apples,6,30,330
4109,apples,Small Crispin/Mutsu Apples,6,30,330
