PLU,Food,Name
4514,Alfalfa Sprouts,Alfalfa Sprouts
4924,Almonds,Almonds
4925,Almonds,Retailer Assigned Almonds
3064,Aloe Vera Leaves,Aloe Vera Leaves
3463,Amaranth/Callaloo/Een Choy,Amaranth/Callaloo/Een Choy
3338,Anise,Anise
4860,Apple Slices,Dried Apple Slices
3000,Apples,Alkmene Apples
3001,Apples,Small Aurora/Southern Rose Apples
3002,Apples,Cantared Apples
3003,Apples,D'Estivale Apples
3004,Apples,Discovery Apples
3005,Apples,Golden Delicious Blush Apples
3006,Apples,Ingrid Marie Apples
3007,Apples,Lochbuie Apples
3008,Apples,Rubinette Apples
3009,Apples,Russet Apples
3010,Apples,Small Cripps Red Apples
3011,Apples,Worcester Apples
3065,Apples,Small Cameo Apples
3066,Apples,Large Cameo Apples
3067,Apples,Small Swiss Gourmet Apples
3068,Apples,Large Swiss Gourmet Apples
3069,Apples,"Small Gravenstein, Red Apples"
3070,Apples,"Large Gravenstein, Red Apples"
3071,Apples,"Granny Smith, Red Apples"
3072,Apples,Lady Apples
3073,Apples,Macoun Apples
3074,Apples,Greening (Ri) Apples
3075,Apples,Baldwin Apples
3076,Apples,Melrose Apples
3077,Apples,Northern Spy Apples
3078,Apples,Liberty Apples
3104,Apples,Roho 3615 Apples
3271,Apples,Virginia Gold Apples
3272,Apples,Sommerfeld Apples
3283,Apples,Large Honeycrisp Apples
3284,Apples,Extra-Large Red Delicious Apples
3285,Apples,Extra-Large Golden Delicious Apples
3290,Apples,Large Aurora/Southern Rose Apples
3291,Apples,Small Boskoop/Belle De Boskoop Apples
3292,Apples,Large Boskoop/Belle De Boskoop Apples
3293,Apples,Small Scifresh Apples
3294,Apples,Large Scifresh Apples
3295,Apples,Small Sciearly Apples
3296,Apples,Large Sciearly Apples
3297,Apples,Scired Apples
3298,Apples,Redfield Apples
3299,Apples,Small Sonya Apples
3300,Apples,Large Sonya Apples
3301,Apples,Large Cripps Red Apples
3315,Apples,Small Scilate Apples
3339,Apples,Belchard - Chantecler Apples
3340,Apples,Bertanne/Golden Russet Apples
3341,Apples,Charles Ross Apples
3342,Apples,Delblush Apples
3343,Apples,Dessert Apples
3344,Apples,Small Gloster Apples
3345,Apples,Large Gloster Apples
3346,Apples,Holstein Apples
3347,Apples,Laxtons Fortune Apples
3348,Apples,Lord Lambourne Apples
3349,Apples,Michaelmas Red Apples
3350,Apples,Small Reine Des Reinettes/King Of The Pippins Apples
3351,Apples,Large Reine Des Reinettes/King Of The Pippins Apples
3352,Apples,Canada Blanc Reinette Du Mans Apples
3353,Apples,St Edmunds Pippin Apples
3435,Apples,Pinova Apples
3438,Apples,Ambrosia Apples
3442,Apples,New York 1 Apples
3443,Apples,New York 2 Apples
3444,Apples,Green Dragon Apples
3445,Apples,Ds 3 Apples
3447,Apples,Ds 22 Apples
3460,Apples,Red Jonaprince Apples
3461,Apples,Lady Williams Apples
3467,Apples,Regal 13-82 Apples
3468,Apples,Small Honeycrisp Apples
3484,Apples,Dalinette Apples
3486,Apples,Cn121 Apples
3487,Apples,Mn 55 Apples
3490,Apples,Maia 1 Apples
3507,Apples,Wa 38 Apples
3510,Apples,Small Ambrosia Apples
3511,Apples,Wa 2 Apples
3513,Apples,Shinano Gold Apples
3514,Apples,Fengapi Apples
3515,Apples,Small Prema 153 Apples
3516,Apples,Large Prema 153 Apples
3519,Apples,R10-45 Apples
3521,Apples,Regal D5-100 Apples
3523,Apples,Sq 159 Apples
3525,Apples,Small Cn121 Apples
3526,Apples,Howell Tc2 Apples
3527,Apples,Howell Tc3 Apples
3528,Apples,Regal D17-121 Apples
3529,Apples,Prema 129 Apples
3537,Apples,Maia-L Apples
3538,Apples,Ipador Apples
3539,Apples,Ifored Y Series Apples
3540,Apples,Ifored R Series Apples
3541,Apples,Civm49 Apples
3542,Apples,Regal D27-16 Apples
3600,Apples,Antares Apples
3601,Apples,Huaguan Apples
3602,Apples,Belgica Apples
3603,Apples,Minneiska Apples
3604,Apples,Emmons Apples
3605,Apples,Nicoter Apples
3607,Apples,Mariri Red Apples
3608,Apples,Large Sciros Apples
3612,Apples,Nicogreen Apples
3613,Apples,Fuji Brak Apples
3615,Apples,Civni Apples
3616,Apples,Large Scilate Apples
3618,Apples,Opal Apples
3619,Apples,Milwa Apples
3620,Apples,Plumac Apples
3625,Apples,Minnewashta Apples
3627,Apples,Large Prema17 Apples
3628,Apples,Prema280 Apples
3629,Apples,Civg198 Apples
3630,Apples,Co-Op 43 Apples
4015,Apples,Small Red Delicious Apples
4016,Apples,Large Red Delicious Apples
4017,Apples,Large Granny Smith Apples
4018,Apples,Large Granny Smith Apples
4019,Apples,Large Mcintosh Apples
4020,Apples,Large Golden Delicious Apples
4021,Apples,Small Golden Delicious Apples
4057,Apples,Small Haralson Apples
4058,Apples,Large Haralson Apples
4096,Apples,Large Ginger Gold Apples
4097,Apples,Small Ginger Gold Apples
